id,visual_score
9543000205.0,12.58678
3353400120.0,12.58678
2976800749.0,12.58678
7335400020.0,12.58678
7883600700.0,12.58678
7340600068.0,12.58678
3832500230.0,12.58678
4440400125.0,12.58678
8016250080.0,12.58678
7116500125.0,12.58678
795000620.0,12.58678
766500030.0,12.58678
8570900162.0,12.58678
3751600030.0,12.58678
1237500540.0,12.58678
3751602249.0,12.58678
6146600595.0,12.58678
3664500300.0,12.58678
1421069123.0,12.58678
8651441620.0,12.58678
3438500625.0,12.58678
2893000280.0,12.58678
1446401550.0,12.58678
4435000705.0,12.58678
2613200025.0,12.58678
2946003415.0,12.58678
3530490160.0,12.58678
5153200506.0,12.58678
8019200845.0,12.58678
104540840.0,12.58678
8732130940.0,12.58678
1523049207.0,12.58678
4222200210.0,12.58678
4060000440.0,12.58678
3750603492.0,12.58678
41000454.0,12.58678
42000245.0,12.58678
7338000730.0,12.58678
9268700040.0,12.58678
1423700680.0,12.58678
7686204750.0,12.58678
2870000040.0,12.58678
2214800630.0,12.58678
3530500010.0,12.58678
2223059052.0,12.58678
7186800105.0,12.58678
3353401710.0,12.58678
1099610830.0,12.58678
2154900040.0,12.58678
1523049207.0,12.58678
2730000070.0,12.58678
9310300175.0,12.58678
2222059099.0,12.58678
7941600220.0,12.58678
7696630080.0,12.58678
3352401981.0,12.58678
1352300990.0,12.58678
7893207665.0,12.58678
7418700040.0,12.58678
3598600049.0,12.58678
7655900031.0,12.58678
1795500060.0,12.58678
8091410390.0,12.58678
3832050860.0,12.58678
8159610150.0,12.58678
2325069054.0,12.58678
421000215.0,12.58678
2892700041.0,12.58678
8661000089.0,12.58678
2781270090.0,12.58678
1221000562.0,12.58678
3211100450.0,12.58678
1555200180.0,12.58678
3423049209.0,12.58678
5269200050.0,12.58678
1823049202.0,12.58678
7227801580.0,12.58678
6056100160.0,12.58678
3826000070.0,12.58678
421049116.0,12.58678
3352400661.0,12.58678
6099400140.0,12.58678
9347900020.0,12.58678
425000175.0,12.58678
8091401030.0,12.58678
1207200010.0,12.58678
4364700600.0,12.58678
1788700185.0,12.58678
9268710140.0,12.58678
5469300270.0,12.58678
1023059324.0,12.58678
8068000305.0,12.58678
8078050140.0,12.58678
3623029034.0,12.58678
7839300185.0,12.58678
7891600260.0,12.58678
5062300280.0,12.58678
5198600010.0,12.58678
1922059278.0,12.58678
5706500385.0,12.58678
8858100020.0,12.58678
922059020.0,12.58678
2823059055.0,12.58678
3530540090.0,12.58678
3530530110.0,12.58678
425000230.0,12.58678
9518100059.0,12.58678
7657000085.0,12.58678
8581200030.0,12.58678
2414600366.0,12.58678
3387800380.0,12.58678
3812400657.0,12.58678
2522069064.0,12.58678
203101370.0,12.58678
8651441290.0,12.58678
7682200320.0,12.58678
425400070.0,12.58678
1220000100.0,12.58678
7227801955.0,12.58678
1313500090.0,12.58678
2349300060.0,12.58678
8945300290.0,12.58678
3277801646.0,12.58678
1788800080.0,12.58678
6093900280.0,12.58678
8731982470.0,12.58678
1432600560.0,12.58678
722059070.0,12.58678
3124049171.0,12.58678
2641800015.0,12.58678
6303401365.0,12.58678
522039106.0,12.58678
16000397.0,12.58678
2212900470.0,12.58678
8151600470.0,12.58678
3623059027.0,12.58678
1951100110.0,12.58678
6138000095.0,12.58678
7520000520.0,12.58678
2892700041.0,12.58678
5381000048.0,12.58678
3192000080.0,12.58678
3568200060.0,12.58678
1822059331.0,12.58678
5379802181.0,12.58678
7899800045.0,12.58678
3883800011.0,12.58678
1545804820.0,12.58678
8645500160.0,12.58678
3352401037.0,12.58678
6306100190.0,12.58678
1723049008.0,12.58678
6889000060.0,12.58678
1322049150.0,12.58678
7468900235.0,12.58678
7140200250.0,12.58678
4202400135.0,12.58678
9448300061.0,12.58678
5071500140.0,12.58678
2329600040.0,12.58678
7883608693.0,12.58678
4006000251.0,12.58678
1551500130.0,12.58678
9835800840.0,12.58678
853000261.0,12.58678
3826000550.0,12.58678
5412310170.0,12.58678
2123049086.0,12.58678
5272200005.0,12.58678
8645530010.0,12.58678
