id,predicted_price
2591820310.0,356218.12
7974200820.0,934747.3
7701450110.0,1030661.8
9522300010.0,1772473.2
9510861140.0,732046.8
1761300310.0,275024.5
7732410120.0,789652.5
7010701383.0,670758.1
291310170.0,435738.28
4232901990.0,519570.62
6840701125.0,580297.25
3971700580.0,357884.25
4202400078.0,288689.53
6064800090.0,327442.53
2626119028.0,318919.47
3303980660.0,1026394.0
862000020.0,587194.75
2386000070.0,974467.1
1138000450.0,418688.66
1775800420.0,455899.25
2291401425.0,474234.34
2025770560.0,834990.4
3525069037.0,701094.7
9324800450.0,608478.2
8080400136.0,558915.9
8651540040.0,558704.9
9407001790.0,222193.61
1773101530.0,242502.0
9432900250.0,345981.6
1794500695.0,584133.44
2220069003.0,285833.84
923000120.0,494437.2
5728000060.0,591571.06
16000200.0,243191.94
1926059094.0,414929.9
6672900220.0,956209.94
3629860060.0,919185.3
1822069109.0,436496.9
6675500105.0,387020.22
249000180.0,1536342.8
226059065.0,467109.12
396100110.0,303921.2
9264450460.0,296544.38
7853361210.0,380445.6
9474700020.0,299125.16
421000455.0,250664.88
3755200220.0,407057.34
7960100075.0,421274.06
9477100490.0,403517.28
9138100350.0,687677.2
1624049275.0,475471.1
2770606890.0,525839.06
1157200189.0,377737.38
2770601800.0,479178.78
9301300805.0,486959.7
2325069032.0,1181396.1
1021079099.0,393764.78
7215730040.0,774846.06
1853200080.0,511892.62
3224600340.0,663886.25
3222049120.0,392933.5
2113700025.0,272192.34
7893207925.0,220803.88
3586501085.0,525651.56
8024200010.0,409289.78
7116500705.0,175829.58
1598600209.0,336558.44
7204200025.0,745469.94
4206901505.0,514905.72
2937300440.0,894470.25
7205000180.0,323886.16
8718500665.0,397721.16
5318101765.0,853705.6
4122700020.0,857949.8
8078700020.0,479064.1
3303980680.0,943229.3
8924100372.0,1074399.9
2781270210.0,198605.83
519000043.0,540110.4
3225069301.0,1548199.0
151000075.0,654281.5
2297400020.0,436058.8
6617500085.0,687162.56
104510180.0,241856.94
3528900060.0,943533.44
3345100286.0,586059.6
1226039130.0,447216.1
8712100720.0,738743.0
3037200010.0,372095.0
3626039268.0,428080.8
104510230.0,257017.03
5112800060.0,416032.62
6072400280.0,610119.1
5317100570.0,884708.94
9528102993.0,572478.06
2919201095.0,461458.5
6181400920.0,254887.8
185000161.0,267904.66
8691400010.0,730190.7
3345700165.0,603774.06
6151800486.0,224890.61
4340000080.0,1155729.6
4136960010.0,520168.03
3634100030.0,405327.72
1624059224.0,1135429.1
2788400090.0,250524.12
9828200762.0,486226.5
7524400250.0,573028.6
3528000290.0,719957.56
5700003630.0,1938313.4
2720069019.0,246643.38
7227501170.0,232096.05
2397101270.0,572589.44
6792100090.0,702834.56
2770602265.0,522633.88
3971700937.0,298765.9
422049203.0,236360.89
3076500830.0,288970.5
1423400260.0,314731.75
9161100795.0,469501.2
3126049052.0,487706.56
5100401468.0,377702.78
514500235.0,374494.1
1423200170.0,196385.23
1402100070.0,476403.38
624110020.0,730841.4
2407000145.0,236348.72
1890000225.0,762067.56
1320069271.0,330933.2
5490700085.0,369707.4
263000155.0,417788.44
3726800201.0,456727.38
5153200358.0,393994.66
2725079018.0,762749.56
7165700200.0,276034.56
9429000170.0,598122.06
8718500075.0,375827.9
1760650950.0,309476.3
1068000559.0,1387905.0
